Time (h) 1L;1L (mean);1L (std);Time (h) 3L;3L (mean);3L (std);Time (h) 5L;5L (mean);5L (std);Time (h) 285L;285L (mean);285L (std)
;;;-1.433704635285663;-1.4000000283289151;-1.4000006396430074;;;;-1.4275234741784038;-1.400000015408066;-1.4000001812668224
;;;-1.4331585459258822;-1.400000028000519;-1.400000521729967;;;;-1.4273164102315197;-1.400000015159164;-1.4000001981168506
;;;-1.432801025760578;-1.4000000278586346;-1.400000450420877;;;;-1.427115704271157;-1.400000014985233;-1.4000002189479113
;;;-1.432786694241356;-1.4000000278690514;-1.4000004545648554;;;;-1.426930806775768;-1.4000000149476415;-1.4000002834436904
;;;-1.4323950958383698;-1.4000000278730291;-1.4000006372447276;;;;-1.426700825505266;-1.400000014992891;-1.4000003329427353
;;;-1.4320264041427189;-1.4000000279306661;-1.4000007105568095;;;;-1.4264622907654694;-1.4000000151045817;-1.4000003853150202
;;;-1.431980906921241;-1.4000000278826819;-1.4000006957311169;;;;-1.424002047082907;-1.4000000140195425;-1.4000002648530108
;;;-1.4319491357043515;-1.4000000278170437;-1.4000006732281334;;;;-1.423821718058877;-1.400000014007139;-1.4000002284930966
;;;-1.4315771755596702;-1.4000000272860176;-1.4000004871188105;;;;-1.4236565015447342;-1.400000013947863;-1.4000002035003927
;;;-1.431183510638298;-1.4000000266665775;-1.400000351044663;;;;-1.4234031936127745;-1.4000000141882356;-1.40000024584095
;;;-1.427933293627159;-1.4000000254714842;-1.4000002883441776;;;;-1.4232029848900247;-1.4000000142807258;-1.4000002910160816
;;;-1.4276587379595045;-1.4000000253656342;-1.4000002808138114;;;;-1.423129083960054;-1.4000000144175315;-1.4000003514603103
;;;-1.4273230410719489;-1.4000000252235298;-1.4000002724004288;;;;-1.422973303943179;-1.400000014334808;-1.4000003927893858
;;;-1.4271255060728745;-1.4000000250969904;-1.4000002648104592;;;;-1.4228103595022898;-1.400000014289064;-1.4000002483623208
;;;-1.4268665266373879;-1.400000024724877;-1.4000002316646643;;;;-1.4226953786595693;-1.4000000141178732;-1.4000001998421718
;;;-1.426549674497594;-1.4000000242208448;-1.4000002022636224;;;;-1.420807453416149;-1.4000000138310307;-1.400000241712566
;;;-1.4262708304159082;-1.4000000240835282;-1.400000202683889;;;;-1.420662310008077;-1.4000000138116693;-1.4000002387842045
;;;-1.4259977827050998;-1.4000000240420045;-1.4000001981374097;;;;-1.4206168950106233;-1.400000013773992;-1.4000002328398349
;;;-1.4235500878734622;-1.4000000232574803;-1.4000001579738568;;;;-1.420222417850919;-1.4000000133354842;-1.400000162050684
;;;-1.4235328552612323;-1.400000023265129;-1.4000001587154816;;;;-1.4200298953662183;-1.4000000131662511;-1.400000142618901
;;;-1.4234764109623326;-1.4000000233027814;-1.400000160653458;;;;-1.41989536199095;-1.4000000130458972;-1.4000001315894763
;;;-1.423258120505827;-1.400000023448063;-1.4000001686128534;;;;-1.4198182970631732;-1.4000000130180283;-1.400000129978082
;;;-1.4231148348940363;-1.4000000235220493;-1.4000001737476835;;;;-1.418363351605325;-1.4000000126941754;-1.4000001091884209
;;;-1.4229031864241242;-1.4000000238783241;-1.4000002035264751;;;;-1.418250210778909;-1.4000000126701444;-1.4000001074807709
;;;-1.4226953786595693;-1.4000000240128005;-1.4000002517115222;;;;-1.418185343156262;-1.4000000126241872;-1.400000104204019
;;;-1.422491307996643;-1.4000000235221985;-1.4000002389831978;;;;-1.4179204279505182;-1.400000012383617;-1.4000000915016722
;;;-1.4222688244371462;-1.4000000232022678;-1.4000002162445526;;;;-1.4177550634109406;-1.4000000123709526;-1.400000092289976
;;;-1.4205792014041247;-1.4000000210054464;-1.4000001107106608;;;;-1.4176478888697261;-1.4000000123140905;-1.4000000965417323
;;;-1.4204112718964204;-1.4000000211780865;-1.4000001185737376;;;;-1.4175885992874555;-1.400000012274668;-1.4000000985521446
;;;-1.4202880265316056;-1.4000000213198946;-1.4000001248303238;;;;-1.4164091200653097;-1.400000012139396;-1.4000001942218459
;;;-1.419976573314876;-1.4000000217170028;-1.400000143358334;;;;-1.4163495337419747;-1.4000000121386171;-1.4000001972248766
;;;-1.4198182970631732;-1.400000021973646;-1.4000001538574294;;;;-1.4162785989066613;-1.4000000121397354;-1.4000002006037604
;;;-1.4196625091709463;-1.4000000220427222;-1.4000001572243705;;;;-1.4159352171697153;-1.400000011680424;-1.400000370602048
;;;-1.4195091514143094;-1.400000022060043;-1.4000001615267108;;;;-1.415865587911933;-1.400000011613903;-1.4000003515958321
;;;-1.4181765332816587;-1.4000000221969344;-1.4000002104243525;;;;-1.4158098769593799;-1.400000011545859;-1.4000003145504816
;;;-1.41802517375012;-1.40000002221388;-1.4000002173855655;;;;-1.4148700063411541;-1.4000000118586824;-1.4000001666953295
;;;-1.417924708580164;-1.4000000222408184;-1.4000002222685681;;;;-1.4148015674723193;-1.400000011883725;-1.4000001556960229
;;;-1.4173848577518302;-1.4000000224359908;-1.4000002546038572;;;;-1.4146713416144212;-1.4000000119323215;-1.4000001377118492
;;;-1.4173446745562128;-1.4000000224448506;-1.4000002571654881;;;;;;
;;;-1.4161849710982657;-1.4000000224310554;-1.400000273590151;;;;;;
;;;-1.416080918909652;-1.400000022429721;-1.400000269776734;;;;;;
